population,side,stack_cell,stack,cell,Time (sec),ROI_mean_Fluo,deltaF_F,led
OviDN_activation,left,539_3,539,3,18,482.052,0.030919986141823824,0
OviDN_activation,left,539_3,539,3,19,491.828,0.05182701232265581,0
OviDN_activation,left,539_3,539,3,20,490.793,0.04961355363841271,0
OviDN_activation,left,539_3,539,3,21,475.052,0.01594973417109708,3
OviDN_activation,left,539_3,539,3,22,453.845,-0.029403713477931758,0
OviDN_activation,left,539_3,539,3,23,438.552,-0.06210943681912092,0
OviDN_activation,left,539_3,539,3,24,439.362,-0.06037716480536539,0
OviDN_activation,left,539_3,539,3,25,439.466,-0.060154749633228914,0
OviDN_activation,left,539_3,539,3,26,449.345,-0.03902744688768466,0
OviDN_activation,left,539_3,539,3,27,439.845,-0.05934421741938524,0
OviDN_activation,left,539_3,539,3,28,435.69,-0.06823013126772381,0
OviDN_activation,left,539_3,539,3,29,457.5,-0.021587103341788066,0
OviDN_activation,left,539_3,539,3,30,447.362,-0.04326830541024912,0
OviDN_activation,left,546_1,546,1,1,921.4,-0.004470238424928355,0
OviDN_activation,left,546_1,546,1,2,908.6222,-0.018276055863015946,0
OviDN_activation,left,546_1,546,1,3,908.9333,-0.017939926810676014,0
OviDN_activation,left,546_1,546,1,4,925.7778,0.0002597704639617343,0
OviDN_activation,left,546_1,546,1,5,941.4667,0.017210895791045663,0
OviDN_activation,left,546_1,546,1,6,925.4445,-0.00010034465382964804,0
OviDN_activation,left,546_1,546,1,7,923.5333,-0.0021653071894517143,0
OviDN_activation,left,546_1,546,1,8,931.9333,0.006910501359745789,0
OviDN_activation,left,546_1,546,1,9,930.4667,0.005325908405191758,0
OviDN_activation,left,546_1,546,1,10,935.9333,0.011232314954601754,0
OviDN_activation,left,546_1,546,1,11,927.4,0.0020124819673555936,3
OviDN_activation,left,546_1,546,1,12,931.6222,0.006574372307405855,0
OviDN_activation,left,546_1,546,1,13,912.5333,-0.014050294575305619,0
OviDN_activation,left,546_1,546,1,14,934.1111,0.009263512771465048,0
OviDN_activation,left,546_1,546,1,15,922.1334,-0.003677833902311433,0
OviDN_activation,left,546_1,546,1,16,926.4,0.0009320285686416021,0
OviDN_activation,left,546_1,546,1,17,915.7778,-0.01054476352317818,0
OviDN_activation,left,546_1,546,1,18,913.4222,-0.013089879549188837,0
OviDN_activation,left,546_1,546,1,19,917.0889,-0.009128181072124254,0
OviDN_activation,left,546_1,546,1,20,912.6889,-0.013882176026465793,0
OviDN_activation,left,546_1,546,1,21,920.1111,-0.005862834810530832,3
OviDN_activation,left,546_1,546,1,22,921.9333,-0.003894032627394125,0
OviDN_activation,left,546_1,546,1,23,900.6445,-0.026895588941936586,0
OviDN_activation,left,546_1,546,1,24,894.3778,-0.03366646625565757,0
OviDN_activation,left,546_1,546,1,25,918.8222,-0.007255431196133309,0
OviDN_activation,left,546_1,546,1,26,915.0222,-0.011361154111246427,0
OviDN_activation,left,546_1,546,1,27,911.2889,-0.015394810784665355,0
OviDN_activation,left,546_1,546,1,28,929.6889,0.0044855317516720615,0
OviDN_activation,left,546_1,546,1,29,900.1111,-0.02747190278481066,0
OviDN_activation,left,546_1,546,1,30,876.5111,-0.052970602994460755,0
OviDN_activation,left,546_2,546,2,1,1394.27,-0.010497316879224781,0
OviDN_activation,left,546_2,546,2,2,1409.405,0.0002438760812727728,0
OviDN_activation,left,546_2,546,2,3,1416.892,0.005557342331371623,0
OviDN_activation,left,546_2,546,2,4,1438.811,0.021113087855067995,0
OviDN_activation,left,546_2,546,2,5,1408.811,-0.00017768114492716758,0
OviDN_activation,left,546_2,546,2,6,1410.243,0.0008385982286726131,0
OviDN_activation,left,546_2,546,2,7,1401.297,-0.005510309087125883,0
OviDN_activation,left,546_2,546,2,8,1401.189,-0.0055869558555258275,0
OviDN_activation,left,546_2,546,2,9,1407.135,-0.0013671254397268483,0
OviDN_activation,left,546_2,546,2,10,1409.541,0.00034039423407272767,0
OviDN_activation,left,546_2,546,2,11,1402.081,-0.004953910323926096,3
OviDN_activation,left,546_2,546,2,12,1389.892,-0.013604349768624025,0
OviDN_activation,left,546_2,546,2,13,1384.973,-0.0170953261923233,0
OviDN_activation,left,546_2,546,2,14,1444.135,0.024891489660267187,0
OviDN_activation,left,546_2,546,2,15,1550.027,0.10004222669185016,0
OviDN_activation,left,546_2,546,2,16,1537.324,0.09102700540495222,0
OviDN_activation,left,546_2,546,2,17,1525.486,0.08262566795755415,0
OviDN_activation,left,546_2,546,2,18,1539.973,0.09290698030765171,0
OviDN_activation,left,546_2,546,2,19,1531.622,0.08698033991035314,0
OviDN_activation,left,546_2,546,2,20,1557.054,0.10502923448394905,0
OviDN_activation,left,546_2,546,2,21,1526.351,0.08323955179705401,3
OviDN_activation,left,546_2,546,2,22,1546.595,0.09760656271825069,0
OviDN_activation,left,546_2,546,2,23,1565.378,0.11093671318914759,0
OviDN_activation,left,546_2,546,2,24,1556.811,0.10485677925504898,0
OviDN_activation,left,546_2,546,2,25,1527.622,0.08414157071035379,0
OviDN_activation,left,546_2,546,2,26,1512.351,0.07330385959705628,0
OviDN_activation,left,546_2,546,2,27,1453.189,0.03131704374446579,0
OviDN_activation,left,546_2,546,2,28,1494.243,0.06045275142865907,0
OviDN_activation,left,546_2,546,2,29,1642.541,0.16569870013403518,0
OviDN_activation,left,546_2,546,2,30,1649.757,0.1708198397708341,0
OviDN_activation,left,546_3,546,3,1,1169.968,-0.005068260600700139,0
OviDN_activation,left,546_3,546,3,2,1183.032,0.006041263970495231,0
OviDN_activation,left,546_3,546,3,3,1169.175,-0.00574262166813426,0
OviDN_activation,left,546_3,546,3,4,1171.857,-0.003461869609044663,0
OviDN_activation,left,546_3,546,3,5,1154.159,-0.0185121119437826,0
OviDN_activation,left,546_3,546,3,6,1188.032,0.010293225303622717,0
OviDN_activation,left,546_3,546,3,7,1182.873,0.00590605160010188,0
OviDN_activation,left,546_3,546,3,8,1184.0,0.006864443684588775,0
